neigh_name,neigh_code,population,sdi,green_area
SAUDE,1,2749,0.583,0.014690970998359
GAMBOA,2,13108,0.559,0.021500044743323
SANTO CRISTO,3,12330,0.569,0.008760813829182
CAJU,4,20477,0.554,0.017527831214039
CENTRO,5,41142,0.643,0.002739587981173
CATUMBI,6,12556,0.58,0.09420806864977
RIO COMPRIDO,7,43764,0.605,0.356610705524256
CIDADE NOVA,8,5466,0.594,0
ESTACIO,9,17189,0.586,0.021986291466026
SAO CRISTOVAO,10,26510,0.615,0.021403343998946
MANGUEIRA,11,17835,0.537,0.186612517124832
BENFICA,12,25081,0.57,0
PAQUETA,13,3361,0.608,0.30901532613133
SANTA TERESA,14,40926,0.624,0.524727419144311
FLAMENGO,15,50043,0.752,0.034391158845145
GLORIA,16,9661,0.705,0.032255569397758
LARANJEIRAS,17,45554,0.75,0.336106592054309
CATETE,18,24057,0.69,0.113333515892728
COSME VELHO,19,7178,0.693,0.362178516445211
BOTAFOGO,20,82890,0.733,0.22394421141313
HUMAITA,21,13285,0.761,0.558477508936037
URCA,22,7061,0.749,0.446433650008137
LEME,23,14799,0.723,0.375359834101737
COPACABANA,24,146392,0.731,0.113376793578974
IPANEMA,25,42743,0.77,0.001189924149599
LEBLON,26,46044,0.78,0.164732604151538
LAGOA,27,21198,0.819,0.079090057204596
JARDIM BOTANICO,28,18009,0.767,0.374949706218315
GAVEA,29,16003,0.756,0.527715315673601
VIDIGAL,30,12797,0.565,0.306282173643349
SAO CONRADO,31,10980,0.779,0.55808589535582
PRACA DA BANDEIRA,32,8662,0.681,0
TIJUCA,33,163805,0.706,0.34762040606862
ALTO DA BOA VISTA,34,9343,0.54,0.903712959245922
MARACANA,35,25256,0.722,0
VILA ISABEL,36,86018,0.667,0.138251762104943
ANDARAI,37,39365,0.666,0.292364405361085
GRAJAU,38,38671,0.688,0.646253068256266
MANGUINHOS,39,36160,0.518,0.031673246484017
BONSUCESSO,40,18711,0.612,0.007978892667244
RAMOS,41,40792,0.609,0.001617044744381
OLARIA,42,57514,0.611,0.077368292711989
PENHA,43,78678,0.584,0.0698206751473
PENHA CIRCULAR,44,47816,0.6,0.09156985574522
BRAS DE PINA,45,59222,0.594,0.002547815774913
